claim,paper_eligibility,statistical_integrity,reason
C3.6,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C4.1,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C4.2,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C4.3,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C4.4,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C4.5,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C4.6,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C4.7,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,Composite CBP/FFD effect is not identified because FFDPacker equals ChunkPacker and historical traces lack qualified factorial repeats; C4 rescue is waived.
C1.2-R1,ELIGIBLE_PRIMARY_WITH_SCOPE_LIMITS,PASS_WITH_SCOPE_LIMITS,C1-R1 replacement has paired seed-level raw observations and simultaneous statistical support; original inventory entry is superseded.
C1.3-R1,ELIGIBLE_PRIMARY_WITH_SCOPE_LIMITS,PASS_WITH_SCOPE_LIMITS,C1-R1 replacement has paired seed-level raw observations and simultaneous statistical support; original inventory entry is superseded.
C1.7-R1,ELIGIBLE_SUPPORTING,NOT_TESTED_OR_EXCLUDED,Audited implementation/supporting fact; not an independent empirical contribution.
C2.1-R1,ELIGIBLE_SUPPORTING,NOT_TESTED_OR_EXCLUDED,Audited implementation/supporting fact; not an independent empirical contribution.
C3.1-R1,NOT_ELIGIBLE,NOT_TESTED_OR_EXCLUDED,"Predictive cost-model evidence is synthetic, descriptive, circular, or lacks provenance/held-out uncertainty; C3 rescue is waived."
C4.1-R1,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C4.3-R1,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
C4.7-R1,APPENDIX_ONLY,NOT_TESTED_OR_EXCLUDED,Traceable implementation fact or negative/historical reanalysis retained for transparency without promotion.
