claim_id,replacement_of,claim_type,protocol,treatment,comparator,effect_direction,unit,independent_unit,nested_unit,n,filtering,summary,ci_method,statistical_family,multiplicity,original_grade,x5_5_decision,paper_eligibility,inference_scope
C2.3,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,RETAIN_SUPPORTING,ELIGIBLE_SUPPORTING,interface/source scope only
C2.4,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,interface/source scope only
C2.5,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,interface/source scope only
C2.6,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,D,REMOVE,NOT_ELIGIBLE,interface/source scope only
C3.1,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C3.2,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C3.3,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,deterministic construction/indexing only
C3.4,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C3.5,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,D,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C3.6,,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,deterministic construction/indexing only
C4.1,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.2,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,historical or conditional; no predictive/causal extrapolation
C4.3,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.4,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.5,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.6,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.7,,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C1.2-R1,C1.2,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,C1_joint_primary,Bonferroni 97.5% for joint E1/E2,A,RETAIN_PRIMARY,ELIGIBLE_PRIMARY_WITH_SCOPE_LIMITS,six paired seeds on FB15k-237/RTX3070; no quality or generalization claim
C1.3-R1,C1.3,confirmatory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,C1_joint_primary,Bonferroni 97.5% for joint E1/E2,A,RETAIN_PRIMARY,ELIGIBLE_PRIMARY_WITH_SCOPE_LIMITS,six paired seeds on FB15k-237/RTX3070; no quality or generalization claim
C1.7-R1,C1.7,secondary descriptive,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,RETAIN_SUPPORTING,ELIGIBLE_SUPPORTING,GPU full-batch component timing only
C2.1-R1,C2.1,implementation fact,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,RETAIN_SUPPORTING,ELIGIBLE_SUPPORTING,interface/source scope only
C3.1-R1,C3.1,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,C,REMOVE,NOT_ELIGIBLE,historical or conditional; no predictive/causal extrapolation
C4.1-R1,C4.1,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,APPENDIX,APPENDIX_ONLY,historical or conditional; no predictive/causal extrapolation
C4.3-R1,C4.3,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,B,APPENDIX,APPENDIX_ONLY,historical or conditional; no predictive/causal extrapolation
C4.7-R1,C4.7,exploratory,Part 2/3/4/5 audit protocol,as frozen,as frozen,ratio > 1 or descriptive,claim-specific,seed/run/batch or implementation artifact,batch within epoch within run where applicable,see source artifact,claim-specific frozen filters,claim-specific,log-t 95% only for C1 E1/E2,none,excluded,A,APPENDIX,APPENDIX_ONLY,historical or conditional; no predictive/causal extrapolation
